OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
Shasta_Oki_14	K038896_?_4-9-14_146_2014	K026795_M_11-20-12_B_2012	K026773_F_11-20-12_B_2012	Shasta_Oki_11_12_13	2012	0	0	19.315062	0.994339	0.994339	C_Se_Se	59	47	0	23	1	0	0	0	0	0	---
Shasta_Oki_14	K038997_?_4-23-14_132_2014	K026346_M_11-7-12_B_2012	K026337_F_11-7-12_B_2012	Shasta_Oki_11_12_13	2012	0	0	21.340285	0.999249	0.999249	C_Se_Se	49	28	0	13	0	0	0	0	0	0	---
Shasta_Oki_14	K039038_?_4-26-14_143_2014	K026458_M_11-13-12_B_2012	K026454_F_11-13-12_B_2012	Shasta_Oki_11_12_13	2012	0	0	20.321094	0.997922	0.997922	C_Se_Se	102	98	0	9	1	0	0	0	0	0	---
Shasta_Oki_14	K039145_?_6-9-14_88_2014	K030522_M_11-25-13_B_2013	K030590_F_12-2-13_B_2013	Shasta_Oki_11_12_13	2013	0	0	20.051308	0.997281	0.997281	C_Se_Se	102	74	0	4	0	1	5	0	0	0	---
Shasta_Oki_14	K039173_?_6-11-14_91_2014	K030374_M_11-18-13_B_2013	K030205_F_11-13-13_B_2013	Shasta_Oki_11_12_13	2013	0	0	19.000916	0.992266	0.992266	C_Se_Se	627	483	1	32	2	1	1	0	0	0	---
Shasta_Oki_14	K038999_?_4-23-14_127_2014	K026843_M_11-26-12_B_2012	K026771_F_11-20-12_B_2012	Shasta_Oki_11_12_13	2012	0.026906	0.001	19.943564	0.996972	0.996972	C_Se_Se	116	80	0	65	0	0	0	0	0	0	---
Shasta_Oki_14	K038829_?_3-28-14_141_2014	K026831_M_11-20-12_B_2012	K026872_F_11-26-12_B_2012	Shasta_Oki_11_12_13	2012	0.138374	0.006	19.6006	0.995739	0.995739	C_Se_Se	16	9	0	5	1	0	0	0	0	0	---
Shasta_Oki_14	K038906_?_4-9-14_156_2014	K026762_M_11-20-12_B_2012	K026771_F_11-20-12_B_2012	Shasta_Oki_11_12_13	2012	0.269061	0.015	13.166753	0.272924	0.337432	C_Se_Si	121	76	0	1	0	0	0	0	1	3	"Oki128851_185,Oki_itpa_85,Oki_LWSop_554"
Shasta_Oki_14	K038925_?_4-12-14_149_2014	K026465_M_11-13-12_B_2012	K026466_F_11-13-12_B_2012	Shasta_Oki_11_12_13	2012	0.274442	0.017	16.688835	0.927051	0.927051	C_Se_Se	191	155	0	23	0	0	0	0	0	0	---
Shasta_Oki_14	K039239_?_6-26-14_102_2014	K025890_M_11-29-11_NB_2011	K024404_F_11-30-11_B_2011	Shasta_Oki_11_12_13	2011	0.302694	0.015	12.463777	0.156723	0.635882	C_Se_Si	118	87	0	1	0	0	0	0	2	4	"Oki106419_292,Oki114448_101,Oki101554_359,Oki_itpa_85"
Shasta_Oki_14	K039090_?_5-30-14_98_2014	K030850_M_11-26-13_NB_2013	K030467_F_11-18-13_NB_2013	Shasta_Oki_11_12_13	2013	0.63107	0.043	14.114086	0.491875	0.491875	C_Se_Se	378	313	1	78	1	1	4	1	0	2	"Oki125998_340,Oki96376_63"
Shasta_Oki_14	K039009_?_4-23-14_145_2014	K024228_M_11-4-11_NB_2011	K024172_F_11-17-11_B_2011	Shasta_Oki_11_12_13	2011	0.659199	0.049	9.507427	0.009573	0.68702	C_U_U	66	50	0	1	1	1	0	0	0	2	"Oki96127_66,Oki105105_245"
Shasta_Oki_14	K039252_?_6-30-14_104_2014	K030257_M_11-8-13_NB_2013	K029929_F_10-28-13_NB_2013	Shasta_Oki_11_12_13	2013	0.966686	1	3.026503	0.000015	0.872292	C_U_U	196	139	0	41	0	3	6	0	0	2	"Oki_txnip_35,Oki104519_45"
Shasta_Oki_14	K039149_?_6-10-14_105_2014	K030804_M_11-26-13_NB_2013	K031737_F_12-31-13_NB_2013	Shasta_Oki_11_12_13	2013	0.972509	1	0.196737	0.000001	0.929519	C_U_U	128	104	1	20	1	2	7	1	1	4	"Oki114448_101,Oki101419_103,Oki110064_418,Oki125998_340"
Shasta_Oki_14	K039234_?_6-25-14_112_2014	K026185_M_11-6-12_NB_2012	K026570_F_11-13-12_B_2012	Shasta_Oki_11_12_13	2012	0.978403	1	0.096812	0.000001	0.962849	C_U_U	131	101	0	7	0	0	0	2	0	3	"Oki94903_192,Oki_txnip_35,Oki104519_45"
Shasta_Oki_14	K038874_?_4-8-14_161_2014	K026355_M_10-17-12_NB_2012	K026783_F_11-20-12_B_2012	Shasta_Oki_11_12_13	2012	0.983385	0.999	-0.646587	0	0.905401	C_U_U	75	49	0	5	0	0	8	0	2	4	"Oki101119_1006,Oki114448_101,Oki110078_191,Oki127236_383"
