NMFS_ID,PCRloc'n,DNAloc'n,rBOXloc,PIT/Tag#,SEX(GHpsi),SEX,PIT_ID,Pop_ID,Status,FishKey_Reach,Remarks,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,HATCHERY,Strain/Mark,Analysis,CrossRef,LENGTH,WEIGHT,Age,SpawnWinter,BirthYear,Notes,Hatchery.Status,STD_Date,CollectionDate,Collection Year,Lifestage,SampleID,Panel,Cross_Ref
K021066,KFV/6B,K309/6B,,1396,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,690,,,W1011,2007,Also picked and extracted under NMFS ID#K022597.,?,,11/1/10,2010,ADULT,4,TMv1,
K021067,KFV/6C,K309/6C,,1369,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,640,,,W1011,2007,Also picked and extracted under NMFS ID#K022558.,?,,11/1/10,2010,ADULT,5,TMv1,
K021068,KFV/6D,K309/6D,,1394,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,740,,,W1011,2007,Also picked and extracted under NMFS ID#K022530.,?,,11/1/10,2010,ADULT,6,TMv1,
K021069,KFV/6E,K309/6E,,1391,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,630,,,W1011,2007,Also picked and extracted under NMFS ID#K022519.,?,,11/1/10,2010,ADULT,7,TMv1,
K021070,KFV/6F,K309/6F,,1367,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,670,,,W1011,2007,Also picked and extracted under NMFS ID#K022520.,?,,11/1/10,2010,ADULT,8,TMv1,
K021071,KFV/6G,K309/6G,,1368,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,690,,,W1011,2007,,?,,11/1/10,2010,ADULT,9,TMv1,
K021072,KFV/6H,K309/6H,,1393,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,740,,,W1011,2007,,?,,11/1/10,2010,ADULT,10,TMv1,
K021073,KFV/7A,K309/7A,,1359,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,650,,,W1011,2007,Also picked and extracted under NMFS ID# K022620.,?,,11/1/10,2010,ADULT,11,TMv1,
K021074,KFV/7B,K309/7B,,1384,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,680,,,W1011,2007,,?,,11/1/10,2010,ADULT,12,TMv1,
K021075,KFV/7C,K309/7C,,1387,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,720,,,W1011,2007,,?,,11/1/10,2010,ADULT,13,TMv1,
K021076,KFV/7D,K309/7D,,1363,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,Also picked and extracted under NMFS ID#K022549.,?,,11/1/10,2010,ADULT,14,TMv1,
K021077,KFV/7E,K309/7E,,1382,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,660,,,W1011,2007,,?,,11/1/10,2010,ADULT,15,TMv1,
K021078,KFV/7F,K309/7F,,1389,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,490,,,W1011,2007,,?,,11/1/10,2010,ADULT,16,TMv1,
K021079,KFV/7G,K309/7G,,1371,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,760,,,W1011,2007,Also picked and extracted under NMFS ID#K022528.,?,,11/1/10,2010,ADULT,17,TMv1,
K021080,KFV/7H,K309/7H,,1385,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,Also picked and extracted under NMFS ID#K022529.,?,,11/1/10,2010,ADULT,18,TMv1,
K021081,KFV/8A,K309/8A,,1390,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,710,,,W1011,2007,,?,,11/1/10,2010,ADULT,19,TMv1,
K021082,KFV/8B,K309/8B,,1357,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,750,,,W1011,2007,Also picked and extracted under NMFS ID#K022547.,?,,11/1/10,2010,ADULT,20,TMv1,
K021083,KFV/8C,K309/8C,,1361,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,,?,,11/1/10,2010,ADULT,21,TMv1,
K021084,KFV/8D,K309/8D,,1372,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,No mark.,,,650,,,W1011,2007,Also picked and extracted under NMFS ID#K022573.,?,,11/1/10,2010,ADULT,22,TMv1,
K021085,KFV/8E,K309/8E,,1365,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,730,,,W1011,2007,,?,,11/1/10,2010,ADULT,23,TMv1,
K021086,KFV/8F,K309/8F,,1399,K021064 and K021086 look like diff samples!,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,720,,,W1011,2007,Also picked and extracted under NMFS ID#K021064 and K022577,?,,11/1/10,2010,ADULT,24,TMv1,
K021087,KFV/8G,K309/8G,,1364,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,610,,,W1011,2007,Also picked and extracted under NMFS ID# K022570.,?,,11/1/10,2010,ADULT,25,TMv1,
